Place,County/ies,Population,Population Density,Per capita income,Median household income,Median family income
Acalanes Ridge,Contra Costa,1226,2659,62314,160000,190104
Acampo,San Joaquin,776,827,36756,141250,[7]
Acton,Los Angeles,6956,177,39131,92245,99448
Adelanto,San Bernardino,31773,567,9998,35262,35537
Adin,Modoc,215,63,15452,29583,60083
Agoura Hills,Los Angeles,20630,2647,50242,107268,118673
Agua Dulce,Los Angeles,2898,127,37538,88864,102989
Aguanga,Riverside,897,66,26330,50213,52420
Ahwahnee,Madera,2165,216,34915,59129,69583
Airport,Stanislaus,1547,2640,11709,21607,32292
Alameda,Alameda,75763,7256,42331,76439,93427
Alamo,Contra Costa,15639,1617,77281,163151,171633
Albany,Alameda,19020,10638,40426,78769,91967
Albion,Mendocino,295,163,23881,12209,62500
Alderpoint,Humboldt,255,105,13177,32688,[7]
Alhambra,Los Angeles,84400,11060,24971,53195,57056
Alhambra Valley,Contra Costa,499,376,41738,62000,80729
Aliso Viejo,Orange,49437,7145,44986,102325,122390
Alleghany,Sierra,115,330,15316,37663,[7]
Allendale,Solano,1613,263,50026,123125,145799
Allensworth,Tulare,480,155,7966,25625,19250
Almanor,Plumas,0,0,[7],[7],[7]
Alondra Park,Los Angeles,8833,7979,21583,55263,57944
Alpaugh,Tulare,969,964,9919,26927,26776
Alpine,San Diego,14580,544,37365,78433,92257
Alpine Village,Alpine,105,37,27154,66458,115417
Alta,Placer,369,155,29864,55833,61389
Altadena,Los Angeles,44622,5121,42089,83917,94886
Alta Sierra,Nevada,6902,830,34823,68792,78983
Alto,Marin,678,5381,73358,62235,106103
Alturas,Modoc,2714,1115,21118,31087,55363
Alum Rock,Santa Clara,10992,12947,20466,70202,71050
Amador City,Amador,164,522,42554,48750,52500
American Canyon,Napa,20089,3304,28451,81955,89954
Amesti,Santa Cruz,3213,1074,19677,48617,52031
Anaheim,Orange,342973,6863,23990,59707,63281
Anchor Bay,Mendocino,254,72,39850,34191,85650
Anderson,Shasta,10066,1580,17414,35225,45599
Angels,Calaveras,3782,1042,31306,55114,73229
Angwin,Napa,3583,742,21387,66765,72813
Antelope,Sacramento,47798,6993,23808,64122,68510
Antioch,Contra Costa,105630,3729,25499,65770,73023
Anza,Riverside,2356,85,20347,39489,60208
Apple Valley,San Bernardino,70561,948,23543,48337,54646
Aptos,Santa Cruz,5872,913,39214,78929,91920
Aptos Hills-Larkin Valley,Santa Cruz,1808,196,36420,74185,86310
Arbuckle,Colusa,3009,1711,15611,47639,50431
Arcadia,Los Angeles,57251,5240,38582,80147,93635
Arcata,Humboldt,17679,1945,18681,30244,45728
Arden-Arcade,Sacramento,92844,5208,31469,45750,60601
Armona,Kings,3531,1855,11790,38622,41711
Arnold,Calaveras,2728,185,33988,58688,78353
Aromas,Monterey,2677,565,30316,67019,81080
,San Benito,,,,,
Arroyo Grande,San Luis Obispo,17536,3006,32351,63558,81883
Artesia,Los Angeles,16698,10301,21688,60544,62485
Artois,Glenn,194,67,10773,60096,60481
Arvin,Kern,20028,4156,10582,35359,34809
Ashland,Alameda,23360,12710,18959,45074,48571
Aspen Springs,Mono,54,15,43841,[7],[7]
Atascadero,San Luis Obispo,28792,1120,32602,66342,77998
Atherton,San Mateo,7034,1399,144197,[7],[7]
Atwater,Merced,28686,4692,18663,41619,45281
Auberry,Fresno,2347,123,24603,50221,60066
Auburn,Placer,13690,1914,36104,54085,77027
Auburn Lake Trails,El Dorado,3839,302,36145,93833,115853
August,San Joaquin,8479,6778,10941,28518,33083
Avalon,Los Angeles,3768,1284,28545,54231,56765
Avenal,Kings,14553,749,7532,29302,29932
Avery,Calaveras,674,150,21169,31719,36667
Avila Beach,San Luis Obispo,1166,194,43153,73304,74821
Avocado Heights,Los Angeles,15432,5703,22076,72174,74382
Azusa,Los Angeles,47420,4911,18159,52087,57131
Baker,San Bernardino,916,341,13559,36838,38063
Bakersfield,Kern,358700,2415,23786,56842,61994
Baldwin Park,Los Angeles,76411,11523,15419,51189,51599
Ballard,Santa Barbara,323,274,65977,87083,116250
Ballico,Merced,333,110,22216,41250,73333
Bangor,Butte,575,43,19272,39500,48409
Banning,Riverside,30281,1311,20246,39556,46434
Barstow,San Bernardino,23110,559,18863,40648,48977
Bass Lake,Madera,570,296,25752,36250,58438
Bay Point,Contra Costa,21586,3281,17385,41749,42983
Bayview,Contra Costa,2025,6639,29636,82431,95150
Bayview,Humboldt,2408,3290,18175,26987,35987
Beale AFB,Yuba,1342,133,16375,42904,42684
Bear Creek,Merced,197,3456,11585,16719,32800
Bear Valley,Alpine,43,8,21109,75179,[7]
Bear Valley,Mariposa,201,28,10781,16042,11597
Bear Valley Springs,Kern,5058,122,38716,82761,97212
Beaumont,Riverside,39620,1279,26627,66775,75809
Beckwourth,Plumas,290,25,43100,52609,81351
Belden,Plumas,46,75,[7],[7],[7]
Bell,Los Angeles,35896,14353,12031,36496,36390
Bella Vista,Shasta,2717,122,22187,52041,57586
Bell Canyon,Ventura,2289,632,81271,208508,215441
Bellflower,Los Angeles,77521,12671,20213,49360,53023
Bell Gardens,Los Angeles,42712,17370,11460,37103,36739
Belmont,San Mateo,26503,5730,56302,106287,142446
Belvedere,Marin,2036,3923,119798,166250,181833
Benbow,Humboldt,314,64,30828,47308,46779
Bend,Tehama,641,220,33164,74375,86964
Benicia,Solano,27450,2123,43640,89094,113235
Ben Lomond,Santa Cruz,6485,776,36066,70281,88986
Benton,Mono,178,6,19566,26000,43468
Berkeley,Alameda,115688,11054,42406,65283,114720
Bermuda Dunes,Riverside,7719,2613,35103,60494,61940
Berry Creek,Butte,1292,23,22781,41287,52188
Bertsch-Oceanview,Del Norte,2568,468,17953,35678,48269
Bethel Island,Contra Costa,2158,387,30388,36845,72536
Beverly Hills,Los Angeles,34536,6051,81788,87366,123636
Bieber,Lassen,127,78,17413,42083,52083
Big Bear City,San Bernardino,12563,393,23024,43404,50346
Big Bear Lake,San Bernardino,5104,804,30115,41058,47368
Big Bend,Shasta,87,15,17511,23750,41750
Big Creek,Fresno,201,437,36270,82917,101250
Biggs,Butte,2010,3160,16624,40847,42273
Big Lagoon,Humboldt,142,237,27510,60179,92639
Big Pine,Inyo,1612,546,26038,49750,61563
Big River,San Bernardino,1061,98,23785,23589,34750
Biola,Fresno,1017,1572,8090,26750,32333
Bishop,Inyo,3851,2066,23661,30395,65142
Blackhawk,Contra Costa,9297,1603,85049,167875,195833
Blacklake,San Luis Obispo,942,901,48044,71471,81917
Black Point-Green Point,Marin,1111,393,71770,117431,130893
Blairsden,Plumas,35,65,41300,11250,[7]
Bloomfield,Sonoma,373,46,40524,77955,122863
Bloomington,San Bernardino,25228,4214,14012,48985,48091
Blue Lake,Humboldt,1258,2121,25209,45750,58125
Bluewater,San Bernardino,174,195,26989,40417,42250
Blythe,Riverside,20101,768,15835,46393,48400
Bodega,Sonoma,156,54,53951,29688,[7]
Bodega Bay,Sonoma,603,72,72541,86000,143333
Bodfish,Kern,1961,246,16580,20121,21861
Bolinas,Marin,1403,241,50783,74310,115741
Bombay Beach,Imperial,171,182,22526,15050,11875
Bonadelle Ranchos-Madera Ranchos,Madera,8503,731,29845,77321,81735
Bonita,San Diego,13864,2763,34407,87666,99860
Bonny Doon,Santa Cruz,2752,165,46896,88221,104609
Bonsall,San Diego,4138,309,43006,69399,81711
Boonville,Mendocino,1090,197,14796,35938,39632
Bootjack,Mariposa,959,137,19924,41683,54583
Boron,Kern,2241,162,15269,31333,31534
Boronda,Monterey,1278,2324,13117,42333,42292
Borrego Springs,San Diego,2359,55,21464,36583,43750
Bostonia,San Diego,16460,8520,19252,42333,47347
Boulder Creek,Santa Cruz,4741,631,43381,79392,103583
Boulevard,San Diego,434,111,16235,12421,72943
Bowles,Fresno,182,478,18409,31250,90833
Boyes Hot Springs,Sonoma,7664,7237,26245,54788,56331
Bradbury,Los Angeles,845,432,76472,112273,116667
Bradley,Monterey,127,1477,19103,53333,73500
Brawley,Imperial,25478,3317,17700,41718,47344
Brea,Orange,40443,3317,35245,81857,98944
Brentwood,Contra Costa,54062,3640,33357,88697,100925
Bret Harte,Stanislaus,4998,9104,9379,28279,31389
Bridgeport,Mono,761,35,28094,39118,107896
Brisbane,San Mateo,4421,1428,40401,80233,96477
Broadmoor,San Mateo,4734,10497,34328,100109,110160
Brookdale,Santa Cruz,2204,573,56819,84451,104817
Brooktrails,Mendocino,3589,494,22821,48097,51250
Buckhorn,Amador,2503,426,24548,49583,57595
Buck Meadows,Mariposa,50,29,20440,[7],[7]
Bucks Lake,Plumas,14,1,[7],[7],[7]
Buellton,Santa Barbara,4924,3113,29597,59695,84267
Buena Park,Orange,82191,7810,24525,68884,72878
Buena Vista,Amador,284,175,21452,58419,49083
Burbank,Los Angeles,104484,6025,33882,66111,82063
Burbank,Santa Clara,5869,14563,28373,64592,65588
Burlingame,San Mateo,29618,6724,61062,90890,132210
Burney,Shasta,3172,611,19176,38214,43346
Burnt Ranch,Trinity,308,23,25077,55500,59028
Butte Creek Canyon,Butte,805,39,47737,75417,81875
Butte Meadows,Butte,34,16,[7],[7],[7]
Butte Valley,Butte,603,33,26612,52734,52813
Buttonwillow,Kern,1371,198,13690,34274,32647
Byron,Contra Costa,1305,201,29962,75673,60250
Bystrom,Stanislaus,3805,5359,11583,25543,30474
Cabazon,Riverside,3266,671,12032,40144,33551
Calabasas,Los Angeles,23956,1748,60703,117176,136724
Calexico,Imperial,39281,4551,12960,35233,40218
California City,Kern,13243,65,22908,57660,61581
California Hot Springs,Tulare,74,99,23838,41250,83750
California Pines,Modoc,367,49,16074,41518,74236
Calimesa,Riverside,8143,549,24981,42392,61319
Calipatria,Imperial,7599,2045,10352,30911,32135
Calistoga,Napa,5244,2019,33280,52131,83889
Callender,San Luis Obispo,1537,672,29647,75200,77936
Calpella,Mendocino,424,167,22521,44000,54038
Calpine,Sierra,189,266,32869,25938,126000
Calwa,Fresno,1330,2131,6559,18625,14219
Camanche North Shore,Amador,947,406,33000,77375,83276
Camanche Village,Amador,840,155,29831,86176,103214
Camarillo,Ventura,65985,3378,39689,87120,102201
Cambria,San Luis Obispo,6246,734,40857,62948,82656
Cambrian Park,Santa Clara,3318,5567,46468,101406,112500
Cameron Park,El Dorado,18831,1695,35469,74690,86690
Camino,El Dorado,1833,815,35973,72383,81477
Camino Tassajara,Contra Costa,1789,1404,64980,142371,155948
Campbell,Santa Clara,40327,6948,44769,91269,103539
Camp Nelson,Tulare,100,81,46972,84107,84107
Campo,San Diego,3031,129,28810,59294,75272
Camp Pendleton North,San Diego,6436,727,17566,37075,37075
Camp Pendleton South,San Diego,12691,3243,15779,43742,43568
Camptonville,Yuba,150,176,21369,28750,47917
Canby,Modoc,693,306,11576,41932,41932
Cantua Creek,Fresno,440,116,9890,31181,31181
Canyondam,Plumas,78,101,18027,[7],[7]
Canyon Lake,Riverside,10810,2764,34925,74682,79561
Capitola,Santa Cruz,10043,6305,37940,56607,81133
Caribou,Plumas,0,0,[7],[7],[7]
Carlsbad,San Diego,109296,2897,44305,87416,106924
Carmel-by-the-Sea,Monterey,3807,3525,45928,62460,92750
Carmel Valley Village,Monterey,4321,228,55560,95444,115333
Carmet,Sonoma,14,49,[7],[7],[7]
Carmichael,Sacramento,63314,4680,32665,54598,70783
Carnelian Bay,Placer,463,356,36276,72083,91389
Carpinteria,Santa Barbara,13323,5152,33331,65467,76311
Carrick,Siskiyou,66,1119,12639,[7],[7]
Carson,Los Angeles,92475,4939,23622,71420,76997
Cartago,Inyo,38,33,32953,46016,[7]
Caruthers,Fresno,3338,1650,13785,44375,44898
Casa Conejo,Ventura,3699,7837,28694,89432,100125
Casa de Oro-Mount Helix,San Diego,21076,3077,37682,75637,96717
Casmalia,Santa Barbara,114,606,20635,47031,45938
Caspar,Mendocino,599,200,28594,50000,75104
Cassel,Shasta,349,172,27611,34600,33450
Castaic,Los Angeles,18619,2564,35715,105523,110130
Castle Hill,Contra Costa,1223,1682,54105,113952,124167
Castro Valley,Alameda,62363,3725,38897,83442,97572
Castroville,Monterey,6226,6092,14156,50000,52069
Cathedral City,Riverside,52550,2444,19674,43128,47489
Catheys Valley,Mariposa,878,38,32190,51528,57813
Cayucos,San Luis Obispo,2553,824,45327,57863,73021
Cazadero,Sonoma,312,44,25780,43875,42969
Cedar Ridge,Tuolumne,1132,145,33038,54271,73750
Cedar Slope,Tulare,0,0,[7],[7],[7]
Cedarville,Modoc,297,55,22492,28274,29048
Centerville,Fresno,348,43,39458,85833,106250
Ceres,Stanislaus,46570,4993,18575,46132,48964
Cerritos,Los Angeles,49599,5687,35460,91487,100919
Chalfant,Mono,714,26,34043,66361,86731
Challenge-Brownsville,Yuba,952,98,19383,47959,36771
Channel Islands Beach,Ventura,2778,6876,53956,90521,110461
Charter Oak,Los Angeles,9200,9914,24139,61946,70187
Cherokee,Butte,80,46,23230,36875,85156
Cherokee Strip,Kern,295,3242,9350,36250,28026
Cherryland,Alameda,15244,12735,20378,50374,50537
Cherry Valley,Riverside,6823,851,29789,58080,66047
Chester,Plumas,1978,271,21631,40417,48409
Chico,Butte,87517,2658,24775,42334,60195
Chilcoot-Vinton,Plumas,130,10,14089,[7],[7]
China Lake Acres,Kern,1376,264,22054,21970,37422
Chinese Camp,Tuolumne,99,110,27201,24722,103125
Chino,San Bernardino,80810,2724,23116,72554,78328
Chino Hills,San Bernardino,76187,1705,35529,97609,105911
Chowchilla,Madera,18411,1653,11856,36852,38180
Chualar,Monterey,1255,2005,15542,58036,57679
