,record_type,school_name,district_name,county_name,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
0,S,Colusa Alternative Home,Colusa Unified,Colusa,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,31.0,30.39,14.0,13.73,14.0,13.73
3,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,54.0,47.79,18.0,15.93,18.0,15.93
5,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68.0,64.15,36.0,33.96,36.0,33.96
6,S,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,161.0,84.74,138.0,72.63,132.0,69.47
7,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,114.0,17.0,3.0,17.65,2.0,11.76,2.0,11.76
8,S,Calipatria High,Calipatria Unified,Imperial,91.0,27.0,14.0,51.85,6.0,22.22,5.0,18.52
9,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,17.0,25.0,6.0,8.82,6.0,8.82
10,S,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,148.0,72.55,88.0,43.14,82.0,40.2
12,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,45.0,66.18,30.0,44.12,29.0,42.65
15,S,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,27.0,71.05,13.0,34.21,12.0,31.58
17,S,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,150.0,80.65,70.0,37.63,67.0,36.02
18,S,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44.0,68.75,33.0,51.56,28.0,43.75
19,S,Enterprise Alternative,Clovis Unified,Fresno,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,S,Clovis East High,Clovis Unified,Fresno,584.0,237.0,161.0,67.93,103.0,43.46,94.0,39.66
22,S,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96.0,50.0,50.0,26.04,39.0,20.31
23,S,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,121.0,62.69,82.0,42.49,76.0,39.38
24,S,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,14.0,60.87,7.0,30.43,7.0,30.43
25,S,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43.0,91.49,33.0,70.21,32.0,68.09
26,S,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,241.0,89.59,230.0,85.5,215.0,79.93
27,S,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,78.0,87.64,64.0,71.91,62.0,69.66
28,S,University High,Irvine Unified,Orange,633.0,205.0,189.0,92.2,185.0,90.24,179.0,87.32
29,S,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,213.0,61.92,169.0,49.13,153.0,44.48
30,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,117.0,46.99,60.0,24.1,58.0,23.29
32,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112.0,67.47,50.0,30.12,46.0,27.71
33,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,37.0,44.58,9.0,10.84,8.0,9.64
34,S,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,352.0,37.77,185.0,19.85,158.0,16.95
36,S,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
