,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
0,S,Colusa Alternative Home,Colusa Unified,Colusa,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S,Belmont Senior High,Los Angeles Unified,Los Angeles,219.0,174.0,42.0,24.14,12.0,6.9,11.0,6.32,206.0,102.0,31.0,30.39,14.0,13.73,14.0,13.73
3,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,333.0,275.0,97.0,35.27,37.0,13.45,35.0,12.73,227.0,113.0,54.0,47.79,18.0,15.93,18.0,15.93
5,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,187.0,183.0,91.0,49.73,47.0,25.68,44.0,24.04,166.0,106.0,68.0,64.15,36.0,33.96,36.0,33.96
6,S,Mission Viejo High,Saddleback Valley Unified,Orange,503.0,223.0,206.0,92.38,176.0,78.92,172.0,77.13,562.0,190.0,161.0,84.74,138.0,72.63,132.0,69.47
7,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,17.0,3.0,17.65,2.0,11.76,2.0,11.76
9,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,79.0,79.0,22.0,27.85,10.0,12.66,6.0,7.59,85.0,68.0,17.0,25.0,6.0,8.82,6.0,8.82
10,S,Corona High,Corona-Norco Unified,Riverside,572.0,168.0,128.0,76.19,84.0,50.0,78.0,46.43,581.0,204.0,148.0,72.55,88.0,43.14,82.0,40.2
12,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,163.0,122.0,72.0,59.02,36.0,29.51,36.0,29.51,145.0,68.0,45.0,66.18,30.0,44.12,29.0,42.65
15,S,Palo Verde High,Palo Verde Unified,Riverside,207.0,56.0,35.0,62.5,19.0,33.93,19.0,33.93,174.0,38.0,27.0,71.05,13.0,34.21,12.0,31.58
17,S,Apple Valley High,Apple Valley Unified,San Bernardino,509.0,226.0,172.0,76.11,91.0,40.27,86.0,38.05,551.0,186.0,150.0,80.65,70.0,37.63,67.0,36.02
18,S,The O'Farrell Charter,San Diego Unified,San Diego,127.0,114.0,77.0,67.54,47.0,41.23,47.0,41.23,125.0,64.0,44.0,68.75,33.0,51.56,28.0,43.75
19,S,Enterprise Alternative,Clovis Unified,Fresno,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
