,cds_code,county_code,district_code,school_code,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
0,6615980630046.0,6.0,661598.0,630046.0,S,Colusa Alternative Home,Colusa Unified,Colusa,18.0,0.0,0,0,0,0,0,0,18.0,0.0,0,0,0,0,0,0
1,6616060634758.0,6.0,661606.0,634758.0,S,Maxwell Sr High,Maxwell Unified,Colusa,26.0,6.0,*,*,*,*,*,*,29.0,10.0,*,*,*,*,*,*
2,19647331930924.0,19.0,1964733.0,1930924.0,S,Belmont Senior High,Los Angeles Unified,Los Angeles,219.0,174.0,42,24.14,12,6.90,11,6.32,206.0,102.0,31,30.39,14,13.73,14,13.73
3,19647331931476.0,19.0,1964733.0,1931476.0,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,333.0,275.0,97,35.27,37,13.45,35,12.73,227.0,113.0,54,47.79,18,15.93,18,15.93
4,19647331931856.0,19.0,1964733.0,1931856.0,S,Whitman Continuation,Los Angeles Unified,Los Angeles,17.0,5.0,*,*,*,*,*,*,18.0,14.0,*,*,*,*,*,*
5,19647336061451.0,19.0,1964733.0,6061451.0,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,187.0,183.0,91,49.73,47,25.68,44,24.04,166.0,106.0,68,64.15,36,33.96,36,33.96
6,30736353034956.0,30.0,3073635.0,3034956.0,S,Mission Viejo High,Saddleback Valley Unified,Orange,503.0,223.0,206,92.38,176,78.92,172,77.13,562.0,190.0,161,84.74,138,72.63,132,69.47
7,33672153336955.0,33.0,3367215.0,3336955.0,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,83.0,0.0,0,0,0,0,0,0,114.0,17.0,3,17.65,2,11.76,2,11.76
8,13631071332501.0,13.0,1363107.0,1332501.0,S,Calipatria High,Calipatria Unified,Imperial,92.0,11.0,*,*,*,*,*,*,91.0,27.0,14,51.85,6,22.22,5,18.52
9,19647330119685.0,19.0,1964733.0,119685.0,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,79.0,79.0,22,27.85,10,12.66,6,7.59,85.0,68.0,17,25.00,6,8.82,6,8.82
10,33670333331600.0,33.0,3367033.0,3331600.0,S,Corona High,Corona-Norco Unified,Riverside,572.0,168.0,128,76.19,84,50.00,78,46.43,581.0,204.0,148,72.55,88,43.14,82,40.20
11,36678270111807.0,36.0,3667827.0,111807.0,S,Mojave River Academy,Oro Grande,San Bernardino,3.0,0.0,0,0,0,0,0,0,7.0,1.0,*,*,*,*,*,*
12,15637761530377.0,15.0,1563776.0,1530377.0,S,Abraham Lincoln Alternative,Southern Kern Unified,Kern,27.0,0.0,0,0,0,0,0,0,18.0,0.0,0,0,0,0,0,0
13,19646341996586.0,19.0,1964634.0,1996586.0,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,163.0,122.0,72,59.02,36,29.51,36,29.51,145.0,68.0,45,66.18,30,44.12,29,42.65
14,19647331930387.0,19.0,1964733.0,1930387.0,S,Central High,Los Angeles Unified,Los Angeles,156.0,18.0,2,11.11,1,5.56,1,5.56,104.0,4.0,*,*,*,*,*,*
15,33671813335759.0,33.0,3367181.0,3335759.0,S,Palo Verde High,Palo Verde Unified,Riverside,207.0,56.0,35,62.50,19,33.93,19,33.93,174.0,38.0,27,71.05,13,34.21,12,31.58
16,36750513630563.0,36.0,3675051.0,3630563.0,S,Lucerne Valley High,Lucerne Valley Unified,San Bernardino,57.0,8.0,*,*,*,*,*,*,36.0,7.0,*,*,*,*,*,*
17,36750773630423.0,36.0,3675077.0,3630423.0,S,Apple Valley High,Apple Valley Unified,San Bernardino,509.0,226.0,172,76.11,91,40.27,86,38.05,551.0,186.0,150,80.65,70,37.63,67,36.02
18,37683386061964.0,37.0,3768338.0,6061964.0,S,The O'Farrell Charter,San Diego Unified,San Diego,127.0,114.0,77,67.54,47,41.23,47,41.23,125.0,64.0,44,68.75,33,51.56,28,43.75
19,10621171030469.0,10.0,1062117.0,1030469.0,S,Enterprise Alternative,Clovis Unified,Fresno,15.0,0.0,0,0,0,0,0,0,18.0,0.0,0,0,0,0,0,0
20,10621171030683.0,10.0,1062117.0,1030683.0,S,Clovis East High,Clovis Unified,Fresno,635.0,191.0,162,84.82,134,70.16,128,67.02,584.0,237.0,161,67.93,103,43.46,94,39.66
21,33670900127720.0,33.0,3367090.0,127720.0,S,Rivercrest Preparatory,Jurupa Unified,Riverside,33.0,2.0,*,*,*,*,*,*,31.0,1.0,*,*,*,*,*,*
22,39686760108159.0,39.0,3968676.0,108159.0,S,Cesar Chavez High,Stockton Unified,San Joaquin,546.0,108.0,61,56.48,48,44.44,41,37.96,521.0,192.0,96,50.00,50,26.04,39,20.31
23,19647331938885.0,19.0,1964733.0,1938885.0,S,University High School Charter,Los Angeles Unified,Los Angeles,307.0,315.0,194,61.59,117,37.14,110,34.92,336.0,193.0,121,62.69,82,42.49,76,39.38
24,19647331996115.0,19.0,1964733.0,1996115.0,S,City of Angels,Los Angeles Unified,Los Angeles,352.0,83.0,46,55.42,16,19.28,16,19.28,292.0,23.0,14,60.87,7,30.43,7,30.43
25,19756636120158.0,19.0,1975663.0,6120158.0,S,New West Charter,SBE - New West Charter,Los Angeles,91.0,41.0,39,95.12,32,78.05,32,78.05,90.0,47.0,43,91.49,33,70.21,32,68.09
26,19757131934553.0,19.0,1975713.0,1934553.0,S,Mark Keppel High,Alhambra Unified,Los Angeles,560.0,285.0,264,92.63,259,90.88,250,87.72,579.0,269.0,241,89.59,230,85.50,215,79.93
27,29663572935500.0,29.0,2966357.0,2935500.0,S,Nevada Union High,Nevada Joint Union High,Nevada,380.0,89.0,83,93.26,77,86.52,77,86.52,353.0,89.0,78,87.64,64,71.91,62,69.66
28,30736503035102.0,30.0,3073650.0,3035102.0,S,University High,Irvine Unified,Orange,551.0,268.0,263,98.13,264,98.51,259,96.64,633.0,205.0,189,92.20,185,90.24,179,87.32
29,41689244137790.0,41.0,4168924.0,4137790.0,S,Westmoor High,Jefferson Union High,San Mateo,383.0,74.0,70,94.59,70,94.59,69,93.24,395.0,344.0,213,61.92,169,49.13,153,44.48
30,7617960735316.0,7.0,761796.0,735316.0,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,291.0,54.0,47,87.04,32,59.26,31,57.41,266.0,249.0,117,46.99,60,24.10,58,23.29
31,12630401237007.0,12.0,1263040.0,1237007.0,S,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,42.0,13.0,*,*,*,*,*,*,50.0,13.0,*,*,*,*,*,*
32,19642460100081.0,19.0,1964246.0,100081.0,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,686.0,637.0,269,42.23,113,17.74,107,16.80,668.0,166.0,112,67.47,50,30.12,46,27.71
33,19642461930213.0,19.0,1964246.0,1930213.0,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,377.0,299.0,72,24.08,25,8.36,20,6.69,454.0,83.0,37,44.58,9,10.84,8,9.64
34,19648731936749.0,19.0,1964873.0,1936749.0,S,Paramount High,Paramount Unified,Los Angeles,1196.0,1058.0,393,37.15,193,18.24,165,15.60,1135.0,932.0,352,37.77,185,19.85,158,16.95
35,31750850128561.0,31.0,3175085.0,128561.0,S,Rocklin Independent Charter Academy,Rocklin Unified,Placer,36.0,14.0,*,*,*,*,*,*,42.0,2.0,*,*,*,*,*,*
36,37681630137109.0,37.0,3768163.0,137109.0,S,Diego Valley East Public Charter,Julian Union Elementary,San Diego,183.0,1.0,*,*,*,*,*,*,78.0,0.0,0,0,0,0,0,0
37,41690474134557.0,41.0,4169047.0,4134557.0,S,Mills High,San Mateo Union High,San Mateo,309.0,157.0,147,93.63,144,91.72,140,89.17,299.0,147.0,137,93.20,132,89.80,126,85.71
38,41690704137279.0,41.0,4169070.0,4137279.0,S,South San Francisco High,South San Francisco Unified,San Mateo,336.0,56.0,45,80.36,41,73.21,40,71.43,292.0,86.0,71,82.56,53,61.63,51,59.30
39,1612000133397.0,1.0,161200.0,133397.0,S,Granada High,Livermore Valley Joint Unified,Alameda,565.0,208.0,200,96.15,193,92.79,188,90.38,567.0,178.0,157,88.20,143,80.34,132,74.16
40,11626461136209.0,11.0,1162646.0,1136209.0,S,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15.0,2.0,*,*,*,*,*,*,15.0,3.0,*,*,*,*,*,*
41,19101990115212.0,19.0,1910199.0,115212.0,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,38.0,17.0,14,82.35,5,29.41,5,29.41,41.0,17.0,10,58.82,6,35.29,6,35.29
42,19101990121954.0,19.0,1910199.0,121954.0,S,Road to Success Academy at Campus Kilpatrick,Los Angeles County Office of Education,Los Angeles,16.0,0.0,0,0,0,0,0,0,20.0,1.0,*,*,*,*,*,*
43,34673143430352.0,34.0,3467314.0,3430352.0,S,Las Flores High (Alternative),Elk Grove Unified,Sacramento,33.0,1.0,*,*,*,*,*,*,64.0,0.0,0,0,0,0,0,0
44,38684783833407.0,38.0,3868478.0,3833407.0,S,Lowell High,San Francisco Unified,San Francisco,711.0,565.0,560,99.12,546,96.64,543,96.11,678.0,423.0,415,98.11,386,91.25,385,91.02
45,1612590115386.0,1.0,161259.0,115386.0,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,0.0,0.0,0,0,0,0,0,0,60.0,0.0,0,0,0,0,0,0
46,1612590130146.0,1.0,161259.0,130146.0,S,Rudsdale Continuation,Oakland Unified,Alameda,86.0,0.0,0,0,0,0,0,0,139.0,1.0,*,*,*,*,*,*
47,21654822133692.0,21.0,2165482.0,2133692.0,S,Tamalpais High,Tamalpais Union High,Marin,391.0,176.0,173,98.30,160,90.91,160,90.91,376.0,149.0,138,92.62,121,81.21,119,79.87
48,33103300110833.0,33.0,3310330.0,110833.0,S,River Springs Charter,Riverside County Office of Education,Riverside,267.0,17.0,15,88.24,9,52.94,9,52.94,213.0,33.0,30,90.91,22,66.67,22,66.67
49,34674210132019.0,34.0,3467421.0,132019.0,S,Paseo Grande Charter,Robla Elementary,Sacramento,6.0,0.0,0,0,0,0,0,0,15.0,1.0,*,*,*,*,*,*
50,37683380107052.0,37.0,3768338.0,107052.0,S,San Diego Business/Leadership,San Diego Unified,San Diego,139.0,17.0,11,64.71,3,17.65,3,17.65,100.0,18.0,8,44.44,2,11.11,1,5.56
51,37683380107078.0,37.0,3768338.0,107078.0,S,Kearny Digital Media & Design,San Diego Unified,San Diego,100.0,39.0,32,82.05,25,64.10,23,58.97,86.0,25.0,20,80.00,11,44.00,11,44.00
52,39103973930476.0,39.0,3910397.0,3930476.0,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,242.0,34.0,24,70.59,14,41.18,14,41.18,266.0,77.0,47,61.04,18,23.38,18,23.38
53,42692294233029.0,42.0,4269229.0,4233029.0,S,Maple High,Lompoc Unified,Santa Barbara,51.0,7.0,*,*,*,*,*,*,26.0,0.0,0,0,0,0,0,0
54,7617210107797.0,7.0,761721.0,107797.0,S,Heritage High,Liberty Union High,Contra Costa,590.0,222.0,202,90.99,181,81.53,174,78.38,574.0,244.0,212,86.89,158,64.75,156,63.93
55,10752341037456.0,10.0,1075234.0,1037456.0,S,Tranquillity High,Golden Plains Unified,Fresno,105.0,104.0,19,18.27,1,0.96,1,0.96,120.0,27.0,10,37.04,0,0.00,0,0.00
56,10752751036938.0,10.0,1075275.0,1036938.0,S,Sierra High,Sierra Unified,Fresno,81.0,23.0,19,82.61,15,65.22,14,60.87,91.0,28.0,26,92.86,15,53.57,15,53.57
57,30768930130765.0,30.0,3076893.0,130765.0,S,Magnolia Science Academy Santa Ana,SBE - Magnolia Science Academy Santa Ana,Orange,30.0,27.0,17,62.96,12,44.44,11,40.74,34.0,14.0,*,*,*,*,*,*
58,33751760107920.0,33.0,3375176.0,107920.0,S,Lakeside High,Lake Elsinore Unified,Riverside,421.0,140.0,99,70.71,59,42.14,54,38.57,387.0,112.0,68,60.71,41,36.61,36,32.14
59,36676783630522.0,36.0,3667678.0,3630522.0,S,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,691.0,623.0,510,81.86,356,57.14,339,54.41,695.0,556.0,458,82.37,362,65.11,352,63.31
60,36676783631769.0,36.0,3667678.0,3631769.0,S,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,41.0,39.0,4,10.26,0,0.00,0,0.00,118.0,79.0,6,7.59,0,0.00,0,0.00
61,36676783632502.0,36.0,3667678.0,3632502.0,S,Chino High,Chino Valley Unified,San Bernardino,462.0,383.0,191,49.87,97,25.33,87,22.72,432.0,354.0,174,49.15,84,23.73,77,21.75
62,9618530934554.0,9.0,961853.0,934554.0,S,Independence Continuation,El Dorado Union High,El Dorado,34.0,0.0,0,0,0,0,0,0,65.0,2.0,*,*,*,*,*,*
63,19643941931823.0,19.0,1964394.0,1931823.0,S,Claremont High,Claremont Unified,Los Angeles,565.0,314.0,298,94.90,268,85.35,261,83.12,591.0,263.0,234,88.97,181,68.82,175,66.54
